Campaign,Ad Group,Criterion Type,Keyword,Match Type
GGL-US-ProxySeller-01,Buy Proxies,Negative Campaign,proxy-seller,Phrase
GGL-US-ProxySeller-01,Buy Proxies,Negative Campaign,proxyseller,Phrase
GGL-US-ProxySeller-01,Buy Proxies,Negative Campaign,proxy seller,Phrase
GGL-US-ProxySeller-01,Buy Proxies,Negative Campaign,free,Phrase
GGL-US-ProxySeller-01,Buy Proxies,Negative Campaign,crack,Phrase
GGL-US-ProxySeller-01,Buy Proxies,Negative Campaign,null,Phrase
GGL-US-ProxySeller-01,Buy Proxies,Negative Campaign,list,Phrase
