Campaign,Ad Group,Keyword,Match Type,Status
GGL-US-Joiin-01,Financial Consolidation,consolidated financial reporting software,Phrase,Enabled
GGL-US-Joiin-01,Financial Consolidation,best financial consolidation software,Phrase,Enabled
GGL-US-Joiin-01,Financial Consolidation,consolidated management accounts software,Phrase,Enabled
GGL-US-Joiin-01,Multi-Entity Reporting,multi entity financial reporting software,Phrase,Enabled
GGL-US-Joiin-01,Multi-Entity Reporting,multi company financial reporting tool,Phrase,Enabled
GGL-US-Joiin-01,Multi-Entity Reporting,financial reporting software for group companies,Phrase,Enabled
GGL-US-Joiin-01,Platform Consolidation,xero consolidated financial statements tool,Phrase,Enabled
GGL-US-Joiin-01,Platform Consolidation,quickbooks multi company reporting,Phrase,Enabled
